,OR1,OR2,distance,similarity,Class1,Class2,Same_Class
24064,Olfr1454,Olfr1500,11.377512348172761,0.480557034187748,5,9,NA
24065,Olfr1458,Olfr1500,9.476326559134119,0.469956100256236,,9,NA
24066,Olfr1459,Olfr1500,12.932447694945065,0.485750474984167,5,9,NA
24067,Olfr1461,Olfr1500,6.66060109199151,0.495764198581658,5,9,NA
24068,Olfr1463,Olfr1500,12.989427346538754,0.496074341995528,5,9,NA
24069,Olfr1466,Olfr1500,7.808881386193912,0.498576624414396,5,9,NA
24070,Olfr1467,Olfr1500,13.930058679375334,0.495116112829849,5,9,NA
24071,Olfr1469,Olfr1500,7.626827351289028,0.47311507275813,5,9,NA
24072,Olfr1471,Olfr1500,12.262228572843403,0.475334650918074,5,9,NA
24073,Olfr1472,Olfr1500,10.726067507776309,0.477551644895497,5,9,NA
24074,Olfr1474,Olfr1500,4.782711025861983,0.488367128554995,5,9,NA
24075,Olfr1477,Olfr1500,10.726067507776309,0.473785467069685,5,9,NA
24076,Olfr1480,Olfr1500,5.425793625008119,0.438639445858395,5,9,NA
24077,Olfr1484,Olfr1500,7.414552522317411,0.464036970698756,5,9,NA
24078,Olfr1487,Olfr1500,5.264846498795438,0.494624051682875,5,9,NA
24079,Olfr1489,Olfr1500,10.921138039107797,0.495564104577226,5,9,NA
24080,Olfr1490,Olfr1500,10.02076998640373,0.372622617853371,10,9,NA
24081,Olfr1491,Olfr1500,4.655810473774619,0.412481621275013,10,9,NA
24082,Olfr1493-ps1,Olfr1500,9.86449394408632,0.378126877912065,,9,NA
24083,Olfr1494,Olfr1500,4.655810473774619,0.415773189909426,10,9,NA
24084,Olfr1495,Olfr1500,10.118657568685524,0.390278966694225,10,9,NA
24085,Olfr1496,Olfr1500,7.769728933432495,0.393783919177316,1,9,NA
24086,Olfr1497,Olfr1500,9.799546852741539,0.781676639802629,9,9,9
24087,Olfr1499,Olfr1500,6.489072057022436,0.588196941678366,9,9,9
24088,Olfr1444,Olfr1501,7.0732573716355205,0.490168658087512,5,9,NA
24089,Olfr1446,Olfr1501,3.77027341303381,0.466447804415878,5,9,NA
