,ensembl_gene_id,accession number,id
377,ENSMUSG00000056600,Q0VEL5,Olfr90
378,ENSMUSG00000075084,Q8VGM7,Olfr1243
379,ENSMUSG00000096167,Q9EQA6,Olfr887
380,ENSMUSG00000096167,A0A1D5RLF5,Olfr887
381,ENSMUSG00000094970,Q7TRB5,Olfr943
382,ENSMUSG00000094970,Q9EQ92,Olfr943
383,ENSMUSG00000093825,E9PZU2,Olfr723
384,ENSMUSG00000058659,Q7TRF6,Olfr58
385,ENSMUSG00000058659,A0A1D5RLX2,Olfr58
386,ENSMUSG00000095483,Q7TRI3,Olfr776
387,ENSMUSG00000048501,Q9EQ93,Olfr938
388,ENSMUSG00000091873,Q8VFT5,Olfr732
389,ENSMUSG00000073956,E9PYB3,Olfr592
390,ENSMUSG00000073956,A0A2I3BPE8,Olfr592
391,ENSMUSG00000100923,Q60883,Olfr10
392,ENSMUSG00000057149,Q8VGE7,Olfr1301
393,ENSMUSG00000050818,Q8VGD9,Olfr330
394,ENSMUSG00000045341,Q8VGJ5,Olfr167
395,ENSMUSG00000061457,Q7TRF0,Olfr871
396,ENSMUSG00000073920,Q99NH4,Olfr661
397,ENSMUSG00000059762,Q8VG33,Olfr767
398,ENSMUSG00000067524,A0A140LIZ3,Olfr1428
399,ENSMUSG00000067524,Q0VDY1,Olfr1428
400,ENSMUSG00000075104,Q7TR04,Olfr1219
401,ENSMUSG00000096029,Q8VGV0,Olfr679
402,ENSMUSG00000083947,W4VSP0,Olfr122
403,ENSMUSG00000083947,Q7TRJ3,Olfr122
404,ENSMUSG00000060556,Q7TQS3,Olfr1418
405,ENSMUSG00000094520,K7N6B1,Olfr635
406,ENSMUSG00000094520,Q7TRQ3,Olfr635
407,ENSMUSG00000075153,Q7TR42,Olfr1135
408,ENSMUSG00000047444,Q60891,Olfr139
409,ENSMUSG00000073971,E9Q546,Olfr554
410,ENSMUSG00000048080,F8VQB9,Olfr731
411,ENSMUSG00000095448,Q7TRF5,Olfr859
412,ENSMUSG00000075133,Q8VFG1,Olfr1170
413,ENSMUSG00000075144,A2AVC3,Olfr1156
414,ENSMUSG00000048996,Q7TQT9,Olfr1366
415,ENSMUSG00000048996,A0A1W2P740,Olfr1366
416,ENSMUSG00000068815,Q8VEU8,Olfr1143
417,ENSMUSG00000068815,Q7TR37,Olfr1143
418,ENSMUSG00000073111,Q8VEV0,Olfr446
419,ENSMUSG00000095527,Q9EQA5,Olfr888
420,ENSMUSG00000095527,A0A1D5RLR5,Olfr888
421,ENSMUSG00000044029,E9Q9T3,Olfr178
422,ENSMUSG00000059460,A0A2I3BRN0,Olfr286
423,ENSMUSG00000059460,A0A2I3BRI6,Olfr286
424,ENSMUSG00000095156,Q7TQY6,Olfr1281
425,ENSMUSG00000075164,Q7TR57,Olfr1106
426,ENSMUSG00000111689,A0A1L1SUC9,Olfr1082
427,ENSMUSG00000061336,Q923Q6,Olfr116
428,ENSMUSG00000045883,A0A140LI90,Olfr1461
429,ENSMUSG00000045883,Q8VEV7,Olfr1461
430,ENSMUSG00000044039,Q7TQY0,Olfr1288
431,ENSMUSG00000109884,Q8VFD2,Olfr490
432,ENSMUSG00000057817,Q8VFX4,Olfr1446
433,ENSMUSG00000057817,A0A140LHG4,Olfr1446
434,ENSMUSG00000063994,Q8VFQ2,Olfr120
435,ENSMUSG00000063994,Q7TRJ4,Olfr120
436,ENSMUSG00000075208,Q8VGS3,Olfr1019
437,ENSMUSG00000108674,Q7TQU5,Olfr1359
438,ENSMUSG00000061875,Q7TR35,Olfr1148
439,ENSMUSG00000051680,Q8VF89,Olfr693
440,ENSMUSG00000093942,Q8VGJ4,Olfr46
441,ENSMUSG00000093942,Q7TRT4,Olfr46
442,ENSMUSG00000054940,Q8VFC2,Olfr137
443,ENSMUSG00000094080,Q60892,Olfr8
444,ENSMUSG00000096289,Q8VEU6,Olfr1484
445,ENSMUSG00000096289,A0A140LI27,Olfr1484
446,ENSMUSG00000063137,E9Q7W1,Olfr177
447,ENSMUSG00000073769,A0A2I3BRQ0,Olfr1331
448,ENSMUSG00000073769,K7N684,Olfr1331
449,ENSMUSG00000049168,A0A0N4SVD5,Olfr449
450,ENSMUSG00000049168,Q8VGW8,Olfr449
451,ENSMUSG00000045306,Q8VFT4,Olfr734
452,ENSMUSG00000059964,Q7TRJ5,Olfr119
453,ENSMUSG00000059473,Q8VH10,Olfr979
454,ENSMUSG00000109212,Q8VGF0,Olfr126
455,ENSMUSG00000075150,Q7TR40,Olfr1137
456,ENSMUSG00000046016,Q5SZS9,Olfr1364
457,ENSMUSG00000075427,E9Q1P2,Olfr288
458,ENSMUSG00000091983,Q8VGP5,Olfr457
459,ENSMUSG00000111869,Q8VGK7,Olfr342
460,ENSMUSG00000047039,Q8VFQ8,Olfr1151
461,ENSMUSG00000063188,Q7TRK4,Olfr107
462,ENSMUSG00000035932,E9Q0Z1,Olfr750
463,ENSMUSG00000075170,A2AVA9,Olfr1097
464,ENSMUSG00000068647,Q8VF39,Olfr1278
465,ENSMUSG00000043827,Q6UAH0,Olfr94
466,ENSMUSG00000043827,A0A286YD85,Olfr94
467,ENSMUSG00000050776,Q8VF84,Olfr1317
468,ENSMUSG00000047545,Q0VBH3,Olfr629
469,ENSMUSG00000047050,E9PW59,Olfr914
470,ENSMUSG00000070875,Q8VFM1,Olfr1100
471,ENSMUSG00000075189,A2AVX9,Olfr1055
472,ENSMUSG00000075189,A0A087WS05,Olfr1055
473,ENSMUSG00000095667,Q8VFF1,Olfr854
474,ENSMUSG00000095667,Q7TRF9,Olfr854
475,ENSMUSG00000111179,Q7TRA0,Olfr996
476,ENSMUSG00000046881,Q7TRY0,Olfr374
477,ENSMUSG00000045421,Q8VGW9,Olfr1390
478,ENSMUSG00000099820,Q7TR85,Olfr1036
479,ENSMUSG00000094878,Q8VFC1,Olfr130
480,ENSMUSG00000095187,Q7TQT4,Olfr1381
481,ENSMUSG00000061210,Q8VF18,Olfr47
482,ENSMUSG00000051200,Q8VFZ3,Olfr513
483,ENSMUSG00000062103,Q7TRB8,Olfr924
484,ENSMUSG00000044213,Q8VF13,Olfr1094
485,ENSMUSG00000075196,Q8VGS0,Olfr1047
486,ENSMUSG00000100899,Q7TR26,Olfr1167
487,ENSMUSG00000063020,L7N1Y8,Olfr194
